SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,14079.94,Derived - Major Staffing Category,Derived
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,34228.02,Derived - Major Staffing Category,Derived
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,47867.58,Derived - Major Staffing Category,Derived
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,103508.2,Education Unit Total,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,9771.83,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,561.13,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,15380.08,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,986.28,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2192.92,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2586.54,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,643.48,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,954.03,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,170.43,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,9128.17,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,604.28,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,2917.35,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,1880.42,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-submission edit
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,726.59,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,14862.39,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff,7461.19,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2760.19,Category Set A,Reported
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1287.72,Derived - Major Staffing Category,Derived
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,4216.30,Derived - Major Staffing Category,Derived
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,9771.83,Derived - Major Staffing Category,Derived
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,22511.59,Derived - Major Staffing Category,Derived
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,35799.86,Derived - Major Staffing Category,Derived
2017-2018,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,73587.30,Education Unit Total,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,116307.6,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,2995.84,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,153185.3,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,25494.68,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,23284.19,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,21872.79,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,3820.66,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,92.98,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,,Category Set A,Missing
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,81898.16,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,4932.53,Category Set A,Imputation
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,35180.64,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,School administrators,17718.99,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2050.11,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,4748.20,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,85849.37,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff,20544.45,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Ungraded Teachers,4271.68,Category Set A,Reported
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,9794.15,Derived - Major Staffing Category,Derived
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,51188.13,Derived - Major Staffing Category,Derived
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,116307.6,Derived - Major Staffing Category,Derived
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,School Staff,155435.2,Derived - Major Staffing Category,Derived
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,Teachers,271523.1,Derived - Major Staffing Category,Derived
2017-2018,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,604248.2,Education Unit Total,Imputation
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,14030.59,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,488.65,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24289.10,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3325.11,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3768.18,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4707.37,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1399.76,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,551.47,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,739.63,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,17198.97,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1283.60,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5338.18,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,School administrators,3628.53,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,358.55,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,1750.89,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,23032.59,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff,7429.12,Category Set A,Reported
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,2598.09,Derived - Major Staffing Category,Derived
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9432.24,Derived - Major Staffing Category,Derived
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,14030.59,Derived - Major Staffing Category,Derived
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,School Staff,34885.90,Derived - Major Staffing Category,Derived
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,Teachers,52373.47,Derived - Major Staffing Category,Derived
2017-2018,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,113320.3,Education Unit Total,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,17459.60,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,467.88,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,26463.29,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,5119.25,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1935.06,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1572.38,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2051.93,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,767.61,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,465.41,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,16039.30,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1015.58,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2985.66,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2311.43,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,736.56,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15428.31,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff,2930.59,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,239.17,Category Set A,Reported
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1204.44,Derived - Major Staffing Category,Derived
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,8743.56,Derived - Major Staffing Category,Derived
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,17459.60,Derived - Major Staffing Category,Derived
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,25500.00,Derived - Major Staffing Category,Derived
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,45081.41,Derived - Major Staffing Category,Derived
2017-2018,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,97989.01,Education Unit Total,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,3076.28,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,119.75,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4257.87,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,336.49,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,394.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,340.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,468.92,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,114.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,3.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,2571.82,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,136.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,399.47,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,504.55,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,224.00,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4610.81,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff,840.80,Category Set A,Reported
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,343.75,Derived - Major Staffing Category,Derived
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,1145.41,Derived - Major Staffing Category,Derived
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,3076.28,Derived - Major Staffing Category,Derived
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,4433.64,Derived - Major Staffing Category,Derived
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9398.68,Derived - Major Staffing Category,Derived
2017-2018,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,18397.76,Education Unit Total,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,810.92,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,6.70,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,2618.77,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,85.30,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,484.47,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,930.27,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,662.80,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,118.05,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,10.71,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Missing,,Category Set A,Not reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,1982.79,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,975.16,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,728.51,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,561.36,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,78.38,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,70.80,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,2580.92,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff,1465.02,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,0.00,Category Set A,Reported
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,155.88,Derived - Major Staffing Category,Derived
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,1678.37,Derived - Major Staffing Category,Derived
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,810.92,Derived - Major Staffing Category,Derived
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,4866.44,Derived - Major Staffing Category,Derived
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,6659.32,Derived - Major Staffing Category,Derived
2017-2018,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,14170.93,Education Unit Total,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,All Other Support Staff,69011.75,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary School Counselors,1921.96,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary Teachers,63439.57,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,758.70,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,9352.56,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,15596.92,Category Set A,Reported
2017-2018,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrators,2317.75,Category Set A,Reported
