SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,44.43,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,211.89,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3754.45,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff,658.54,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,323.98,Derived - Major Staffing Category,Derived
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1442.10,Derived - Major Staffing Category,Derived
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2454.75,Derived - Major Staffing Category,Derived
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5184.98,Derived - Major Staffing Category,Derived
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7824.91,Derived - Major Staffing Category,Derived
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,17230.72,Education Unit Total,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,14321.44,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,443.45,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,30243.03,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,612.51,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2520.32,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4127.51,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1379.32,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,421.01,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,83.12,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,15693.70,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,371.86,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,3848.53,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2438.46,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,797.64,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,15084.87,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff,11783.51,Category Set A,Reported
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1241.09,Derived - Major Staffing Category,Derived
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6119.34,Derived - Major Staffing Category,Derived
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,14321.44,Derived - Major Staffing Category,Derived
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,34268.33,Derived - Major Staffing Category,Derived
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,48220.08,Derived - Major Staffing Category,Derived
2016-2017,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,104170.3,Education Unit Total,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,9874.97,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,574.42,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,15582.27,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,1006.72,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2099.32,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2609.99,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,624.14,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,947.69,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,177.23,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,9024.97,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,635.75,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,2898.21,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,1831.85,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,721.64,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,14767.68,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff,7577.20,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2645.28,Category Set A,Reported
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1296.06,Derived - Major Staffing Category,Derived
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,4240.85,Derived - Major Staffing Category,Derived
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,9874.97,Derived - Major Staffing Category,Derived
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,22457.15,Derived - Major Staffing Category,Derived
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,35730.30,Derived - Major Staffing Category,Derived
2016-2017,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,73599.33,Education Unit Total,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,114013.4,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,2885.01,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,154484.4,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,25916.47,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,23356.86,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,21240.27,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,3766.64,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,195.84,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,,Category Set A,Missing
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,81369.36,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,4759.00,Category Set A,Imputation
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,34677.00,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,School administrators,17760.93,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2023.54,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,4613.64,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,86139.96,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff,20036.85,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Ungraded Teachers,2546.84,Category Set A,Reported
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,9522.19,Derived - Major Staffing Category,Derived
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,50923.38,Derived - Major Staffing Category,Derived
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,114013.4,Derived - Major Staffing Category,Derived
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,School Staff,154040.0,Derived - Major Staffing Category,Derived
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,Teachers,271287.1,Derived - Major Staffing Category,Derived
2016-2017,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,599786.0,Education Unit Total,Imputation
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,13713.28,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,441.95,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24455.52,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3126.71,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3852.70,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4645.46,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1359.44,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,578.83,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,728.00,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,17038.87,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1092.59,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5203.78,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,School administrators,3498.48,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,349.78,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,1690.49,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,22613.32,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff,6903.67,Category Set A,Reported
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,2482.22,Derived - Major Staffing Category,Derived
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9131.61,Derived - Major Staffing Category,Derived
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,13713.28,Derived - Major Staffing Category,Derived
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,School Staff,33951.63,Derived - Major Staffing Category,Derived
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,Teachers,52014.13,Derived - Major Staffing Category,Derived
2016-2017,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,111292.9,Education Unit Total,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,16728.25,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,443.81,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,23870.47,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,4965.70,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1927.40,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1638.64,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2156.07,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,754.02,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,525.49,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,16564.72,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,946.35,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2945.82,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2245.96,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,721.57,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15373.13,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff,3933.65,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,225.85,Category Set A,Reported
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1165.38,Derived - Major Staffing Category,Derived
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,8760.41,Derived - Major Staffing Category,Derived
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,16728.25,Derived - Major Staffing Category,Derived
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,26969.66,Derived - Major Staffing Category,Derived
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,42343.20,Derived - Major Staffing Category,Derived
2016-2017,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,96046.94,Education Unit Total,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,2901.91,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,117.75,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4174.20,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,332.49,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,398.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,106.73,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,83.58,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,120.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,6.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,2348.85,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,106.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,389.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,504.50,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,212.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4530.00,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff,811.20,Category Set A,Reported
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,329.75,Derived - Major Staffing Category,Derived
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,522.80,Derived - Major Staffing Category,Derived
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,2901.91,Derived - Major Staffing Category,Derived
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,4179.55,Derived - Major Staffing Category,Derived
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9208.20,Derived - Major Staffing Category,Derived
2016-2017,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,17142.21,Education Unit Total,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,All Other Support Staff,101.60,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Elementary School Counselors,32.00,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Elementary Teachers,3035.82,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,84.08,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Kindergarten Teachers,124.53,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,LEA Administrative Support Staff,959.75,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,LEA Administrators,475.61,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Librarians/media specialists,17.00,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Library/Media Support Staff,11.00,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Missing,,Category Set A,Not reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Paraprofessionals/Instructional Aides,1786.02,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Pre-kindergarten Teachers,829.92,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,School Administrative Support Staff,2201.77,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,School administrators,194.40,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,School Counselors,69.00,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Secondary School Counselors,66.88,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Secondary Teachers,2712.84,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Student Support Services Staff,675.76,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Ungraded Teachers,23.88,Category Set A,Reported
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Guidance Counselors,167.88,Derived - Major Staffing Category,Derived
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,LEA Staff,1519.44,Derived - Major Staffing Category,Derived
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Other Staff,101.60,Derived - Major Staffing Category,Derived
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,School Staff,4885.95,Derived - Major Staffing Category,Derived
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,Teachers,6726.99,Derived - Major Staffing Category,Derived
2016-2017,11,DISTRICT OF COLUMBIA,DC,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,01,No Category Codes,13401.86,Education Unit Total,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,All Other Support Staff,68145.62,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary School Counselors,1887.68,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary Teachers,63842.00,Category Set A,Reported
