SURVYEAR	FIPST	STABR	STATENAME	SEANAME	SCHSUP	SECTCH	STAFF	ELMGUI	KGTCH	LEASUP	PARA	SECGUI	CORSUP	ELMTCH	LIBSUP	SCHADM	STUSUP	GUI	LEAADM	LIBSPE	OTHSUP	PKTCH	UGTCH	TOTTCH	TOTGUI	ISCHSUP	ISECTCH	ISTAFF	IELMGUI	IKGTCH	ILEASUP	IPARA	ISECGUI	ICORSUP	IELMTCH	ILIBSUP	ISCHADM	ISTUSUP	IGUI	ILEAADM	ILIBSPE	IOTHSUP	IPKTCH	IUGTCH	ITOTTCH	ITOTGUI
2014-2015	17	IL	ILLINOIS	Illinois State Board of Education	9445.22	40706.22	261922.34	1034.25	4329.78	6639.27	25928.65	2053.12	1678.33	84991.44	1236.08	8225.89	36938.19	2.00	4131.99	1692.98	30460.43	2366.30	62.20	132455.94	3089.37	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	18	IN	INDIANA	Indiana Department of Education	6821.70	26926.57	139587.18	529.04	3777.99	740.39	16737.26	1396.24	3384.47	25588.33	1196.57	3245.74	9541.56	0.00	547.98	702.54	38196.30	254.50	-2.00	56547.39	1925.28	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	19	IA	IOWA	Iowa Department of Education	2269.29	10715.55	72129.67	785.00	2842.77	1990.18	11753.53	424.00	548.61	20770.15	486.35	1758.07	4372.54	0.00	1252.81	440.34	10364.66	1355.62	-2.00	35684.09	1209.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	20	KS	KANSAS	Kansas State Department of Education	2120.00	18471.14	71175.60	344.00	7301.17	1441.90	9139.20	707.00	991.12	10848.65	522.30	1899.10	4472.29	0.00	466.66	677.00	10735.80	1038.12	-2.00	37659.08	1051.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	21	KY	KENTUCKY	Kentucky Depatment of Education	5520.17	9886.74	97269.04	844.00	2091.19	2237.56	12961.01	677.00	1584.49	21667.27	226.00	3424.11	2951.36	0.00	897.14	1063.00	23297.08	894.36	7046.06	41585.62	1521.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	22	LA	LOUISIANA	Louisiana Department of Education	3159.05	11920.46	85370.18	1052.00	2457.36	384.75	10957.75	480.00	895.29	23067.93	192.36	3009.34	3164.10	0.00	87.97	1006.41	14642.12	1358.25	7535.54	46339.54	1532.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	23	ME	MAINE	Maine Department of Education	1209.07	4562.81	32224.70	317.00	766.14	738.46	5764.23	262.00	287.36	9475.43	293.34	904.64	1417.31	0.00	459.49	197.93	5437.90	132.35	-2.00	14936.73	579.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	24	MD	MARYLAND	Maryland State Department of Education	6010.34	23324.28	117237.80	1153.64	3581.36	2192.82	11016.60	1215.33	1590.69	31169.01	404.63	3578.46	4929.82	0.00	3605.97	1169.92	19739.54	1119.62	-2.00	59194.27	2368.97	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	25	MA	MASSACHUSETTS	Mass. Department of Elementary and Secondary Education	5434.85	24742.93	128723.50	906.91	3955.18	2958.93	25455.31	1351.18	415.39	41567.00	1339.21	4713.16	9414.94	0.00	2528.46	699.82	1646.29	1593.91	-2.00	71859.02	2258.09	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	26	MI	MICHIGAN	MI Dept of Ed (MDE) & MI Center for Ed Perf and Info (CEPI)	10843.16	33376.96	183721.98	254.68	5022.50	1121.08	20578.31	1557.85	1286.64	28722.61	606.47	6631.57	13457.23	296.25	4138.08	499.67	37412.67	1455.76	16460.49	85038.32	2108.78	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	27	MN	MINNESOTA	Minnesota Department of Education	3897.67	23960.74	115999.45	169.86	3420.67	2271.78	18462.20	1015.88	2550.27	24833.83	734.09	2321.60	13100.51	0.00	2338.37	622.42	12825.16	1850.07	1624.33	55689.64	1185.74	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	28	MS	MISSISSIPPI	MISSISSIPPI DEPARTMENT OF EDUCATION	2386.03	13091.77	68000.29	516.83	1923.55	2071.99	8224.72	603.03	679.45	12955.30	113.64	1993.51	3171.23	0.00	984.16	813.01	14131.54	419.70	3920.83	32311.15	1119.86	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	29	MO	MISSOURI	MISSOURI DEPT OF ELEMENTARY AND SECONDARY EDUCATION	241.35	32305.80	127062.09	1103.65	4197.91	6737.09	13401.01	576.44	1436.56	28769.97	94.92	3229.24	5042.61	961.35	868.25	1389.75	24624.32	2081.87	-2.00	67355.55	2641.44	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	T
2014-2015	30	MT	MONTANA	Montana Office of Public Instruction	691.57	3073.47	20456.30	291.18	746.46	677.57	2454.27	160.54	203.33	6125.74	122.00	507.82	682.44	1.00	405.02	363.27	3661.83	277.04	11.75	10234.46	452.72	R	R	TI	R	C	R	R	R	R	A	P	R	R	R	R	R	R	C	R	T	T
2014-2015	31	NE	NEBRASKA	Nebraska Department of Education	1504.78	8488.24	46931.32	399.21	1498.92	1126.03	6770.61	407.89	816.96	12277.69	425.29	1072.72	1550.71	0.00	629.04	550.84	8689.55	722.84	-2.00	22987.69	807.10	R	R	R	R	C	R	R	R	R	A	R	R	R	A	R	R	R	R	A	T	T
2014-2015	32	NV	NEVADA	Nevada Department of Education	1346.00	7958.67	33748.82	274.50	1301.80	976.00	4259.00	570.50	1458.00	9222.05	283.00	1107.50	61.40	44.00	175.55	322.00	1215.70	23.00	3150.15	21655.67	889.00	P	R	TI	R	R	P	P	R	P	R	P	R	R	R	R	R	R	R	R	T	T
2014-2015	33	NH	NEW HAMPSHIRE	NH Dept of Education	536.73	4763.60	31851.10	464.60	570.40	715.90	7006.80	347.50	255.56	9250.20	224.50	512.94	706.07	0.00	742.00	317.70	5248.00	188.60	-2.00	14772.80	812.10	A	R	R	R	R	R	R	R	C	R	R	A	C	A	R	R	R	R	A	T	T
2014-2015	34	NJ	NEW JERSEY	NEW JERSEY DEPARTMENT OF EDUCATION	10537.09	38228.96	235230.82	1886.00	3065.66	5628.15	36594.53	1895.00	3972.68	54720.34	282.00	5074.63	13444.97	0.00	1427.82	1477.04	37944.12	3212.52	15839.31	115066.79	3781.00	R	R	TI	D	R	R	R	D	R	R	P	R	R	A	R	R	R	R	R	T	T
2014-2015	35	NM	NEW MEXICO	New Mexico Public Education Department	3978.41	8407.30	46920.92	298.16	1271.19	113.99	6159.73	446.87	638.20	8181.02	144.62	1365.76	3316.44	9.58	885.62	235.84	6916.78	498.37	4053.04	22410.92	754.61	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	36	NY	NEW YORK	NEW YORK STATE EDUCATION DEPARTMENT	5870.52	91678.53	356054.80	511.38	7545.58	18646.70	43136.10	3802.31	1400.24	93265.84	1146.70	5129.97	8484.62	0.00	2525.27	2359.85	59260.27	2657.24	8633.68	203780.87	4313.69	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	37	NC	NORTH CAROLINA	North Carolina Department of Public Instruction	7089.67	29198.19	191323.00	1573.16	7032.58	5484.94	22601.30	2427.00	1161.38	60497.30	197.92	5700.34	10824.34	97.97	1642.51	2177.89	31024.11	1746.00	846.40	99320.47	4098.13	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	38	ND	NORTH DAKOTA	North Dakota Department of Public Instruction	551.09	3148.54	17599.66	213.00	587.92	276.86	2430.86	134.00	214.85	5157.31	191.08	464.05	850.42	0.00	501.51	195.73	2526.96	155.23	-2.00	9049.00	347.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	39	OH	OHIO	Ohio Department of Education	11063.00	47251.00	250106.00	1555.00	5981.00	13814.00	19667.00	2255.00	1593.00	42226.00	1586.00	5453.00	23209.00	0.00	2507.00	911.00	59967.00	1974.00	9094.00	106526.00	3810.00	P	P	TI	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	TI	TI
2014-2015	40	OK	OKLAHOMA	OKLAHOMA STATE DEPARTMENT OF EDUCATION	3693.32	18567.50	85835.45	656.02	2412.51	3079.82	9731.92	957.56	345.35	19264.25	822.70	2366.61	4868.55	0.00	534.37	1026.66	15679.42	1828.89	-2.00	42073.15	1613.58	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	41	OR	OREGON	Oregon Department of Education	3897.04	8270.08	62955.90	627.00	1936.31	2626.85	9653.71	427.00	442.33	17386.11	718.39	1609.21	2734.11	0.00	449.22	130.24	11790.87	257.65	-2.00	27850.15	1054.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	42	PA	PENNSYLVANIA	Pennsylvania Department of Education	9694.00	53319.79	243289.59	1716.98	4991.66	6991.00	31231.00	2692.18	1544.22	52889.56	1714.00	5009.91	7247.62	0.00	2478.79	1734.31	49206.00	654.52	10174.05	122029.58	4409.16	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	44	RI	RHODE ISLAND	RHODE ISLAND DEPARTMENT OF EDUCATION	590.35	4284.91	15716.28	65.90	377.24	427.86	1966.64	269.69	164.89	4670.71	46.46	523.29	430.85	0.00	124.43	190.92	1443.90	138.24	-2.00	9471.10	335.59	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	45	SC	SOUTH CAROLINA	South Carolina Department of Education	1426.50	14778.80	75718.30	1251.00	2508.70	2502.40	9712.70	798.40	1916.30	31083.20	427.30	2900.60	3449.00	0.00	767.70	1089.90	1.50	1104.30	-2.00	49475.00	2049.40	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	46	SD	SOUTH DAKOTA	South Dakota Department of Education	581.74	2510.07	19326.36	212.00	579.64	354.67	2621.25	119.00	170.15	5472.18	82.41	428.75	843.71	0.00	706.33	106.39	3482.29	195.28	860.53	9617.70	331.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	47	TN	TENNESSEE	Tennessee Department of Education	5203.70	18687.00	127042.60	1108.00	4122.00	1209.10	16095.20	1012.30	798.10	39463.10	480.70	3545.10	1357.60	812.20	188.00	1897.60	27994.40	1153.00	1915.50	65340.60	2932.50	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	48	TX	TEXAS	TEXAS EDUCATION AGENCY	25288.35	141716.06	675111.66	4718.00	21261.93	24102.69	64935.98	6928.00	3605.00	141907.42	2173.16	24520.91	25831.51	0.00	6351.44	4647.27	139752.35	8673.88	28698.14	342257.43	11646.00	R	R	R	D	R	R	R	D	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	49	UT	UTAH	Utah State Office of Education	2348.00	11230.00	55355.00	162.00	1336.00	1057.00	8668.00	767.00	1958.00	11939.00	389.00	1427.00	1194.00	0.00	798.00	240.00	8973.00	313.00	2556.00	27374.00	929.00	P	P	TI	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	TI	TI
2014-2015	50	VT	VERMONT	Vermont Agency of Education	689.72	2927.88	18130.12	182.03	401.79	450.83	4068.43	253.67	238.56	2688.33	183.84	472.13	949.81	0.00	126.98	210.63	2027.76	148.85	2108.88	8275.73	435.70	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	51	VA	VIRGINIA	Virginia Department of Education	6782.52	48114.82	177732.51	1334.96	4353.64	4370.04	18988.80	1929.40	1795.62	35601.75	1774.23	4149.84	4772.72	197.44	1741.40	1708.61	38219.22	1897.50	-2.00	89967.71	3461.80	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	T
2014-2015	53	WA	WASHINGTON	Office of Superintendent of Public Instruction	4536.27	15628.96	111695.69	780.85	4158.27	1966.52	11201.26	1448.68	331.82	37259.89	627.59	3062.84	3395.70	0.00	2549.09	1092.24	21147.96	454.13	2053.62	59554.87	2229.53	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	54	WV	WEST VIRGINIA	West Virginia Department of Education	499.72	10585.33	39271.88	264.27	1078.50	1399.12	3698.68	486.20	393.25	7881.07	292.00	1146.44	1188.21	1.32	921.29	299.74	8652.55	465.29	18.90	20029.09	751.79	R	R	TI	R	R	R	R	R	R	R	P	R	R	R	R	R	R	R	R	T	T
2014-2015	55	WI	WISCONSIN	Wisconsin Dept of Public Instruction	3565.00	28523.00	103208.00	688.00	3252.00	2861.00	10648.00	1177.00	1388.00	23912.00	613.00	2468.00	5302.00	0.00	1088.00	936.00	14098.00	2298.00	391.00	58376.00	1865.00	P	P	TI	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	TI	TI
2014-2015	56	WY	WYOMING	Wyoming Department of Education	618.44	3509.22	16945.55	159.30	468.90	478.94	2389.02	269.81	359.57	3615.07	365.21	383.29	715.86	0.00	399.82	107.09	3084.61	21.40	-2.00	7614.59	429.11	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	59	BI	BUREAU OF INDIAN AFFAIRS	Bureau of Indian Education	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
2014-2015	63	DD	DEPARTMENT OF DEFENSE	Department of Defense Education Activity	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
2014-2015	66	GU	GUAM	Guam Department of Education	169.00	1073.00	3938.00	28.00	75.00	139.00	605.00	58.00	218.00	1106.00	9.00	96.00	126.00	-2.00	44.00	36.00	124.00	32.00	-1.00	2286.00	86.00	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	72	PR	PUERTO RICO	PUERTO RICO DEPARTMENT OF EDUCATION	2564.00	11995.75	50099.00	-1.00	-1.00	563.00	71.00	-1.00	423.00	13370.61	77.00	1299.00	4661.00	685.00	361.00	891.00	7318.00	87.87	5731.77	31186.00	685.00	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	A
2014-2015	78	VI	VIRGIN ISLANDS	U.S. Virgin Islands Department of Education	89.00	346.00	2212.00	27.00	50.00	79.00	274.00	22.00	32.00	433.00	1.00	72.00	58.00	6.00	5.00	26.00	390.00	-1.00	302.00	1131.00	55.00	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T
