SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff (w/o Psychology),2457.03,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1879.78,Derived - Major Staffing Category,Derived
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3625.20,Derived - Major Staffing Category,Derived
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,13170.49,Derived - Major Staffing Category,Derived
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,18430.51,Derived - Major Staffing Category,Derived
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,42857.92,Derived - Major Staffing Category,Derived
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,79963.90,Education Unit Total,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,All Other Support Staff,2072.28,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Elementary School Counselors,46.52,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Elementary Teachers,2985.09,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Kindergarten Teachers,399.19,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,LEA Administrative Support Staff,678.55,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,LEA Administrators,737.72,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Librarians/media specialists,128.29,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Library/Media Support Staff,56.24,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2702.79,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Pre-kindergarten Teachers,163.48,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,School Administrative Support Staff,986.73,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,School administrators,731.90,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,School Counselors,81.26,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,School Psychologists,83.27,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Secondary School Counselors,202.67,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Secondary Teachers,3673.47,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Student Support Services Staff (w/o Psychology),693.75,Category Set A,Reported
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Guidance Counselors,330.45,Derived - Major Staffing Category,Derived
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,LEA Staff,1416.27,Derived - Major Staffing Category,Derived
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Other Staff,2072.28,Derived - Major Staffing Category,Derived
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,School Staff,5382.97,Derived - Major Staffing Category,Derived
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,Teachers,7221.23,Derived - Major Staffing Category,Derived
2023-2024,02,ALASKA,AK,Department of Education and Early Development,01,No Category Codes,16423.20,Education Unit Total,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,14031.19,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,787.30,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,30478.09,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,908.55,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2322.20,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4281.55,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1730.30,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,464.17,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,84.80,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,16706.12,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,463.46,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,4016.88,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2661.77,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,School Psychologists,1009.85,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,944.27,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,15996.72,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff (w/o Psychology),12312.21,Category Set A,Reported
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1731.57,Derived - Major Staffing Category,Derived
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6920.40,Derived - Major Staffing Category,Derived
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,14031.19,Derived - Major Staffing Category,Derived
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,37255.80,Derived - Major Staffing Category,Derived
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,49260.47,Derived - Major Staffing Category,Derived
2023-2024,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,109199.43,Education Unit Total,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,10219.60,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,596.37,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,17007.13,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,2174.19,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2233.15,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2975.90,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,855.33,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,873.15,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,170.42,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,10072.53,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,701.54,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,3252.29,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,2087.24,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-Submission edit
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Psychologists,188.70,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,812.74,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,16388.28,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff (w/o Psychology),7383.09,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2425.00,Category Set A,Reported
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1409.11,Derived - Major Staffing Category,Derived
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,6005.42,Derived - Major Staffing Category,Derived
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,10219.60,Derived - Major Staffing Category,Derived
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,24027.42,Derived - Major Staffing Category,Derived
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,38755.10,Derived - Major Staffing Category,Derived
2023-2024,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,80416.65,Education Unit Total,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,140436.17,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,4883.53,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,151320.93,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,5223.46,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,25333.53,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,23049.16,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,7587.91,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,644.71,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,98813.85,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,,Category Set A,Suppressed
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,36274.20,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,School administrators,17789.81,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2810.77,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,School Psychologists,7509.96,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,5469.84,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,91540.17,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff (w/o Psychology),12988.14,Category Set A,Reported
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,13164.14,Derived - Major Staffing Category,Derived
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,35860.53,Derived - Major Staffing Category,Derived
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,140436.17,Derived - Major Staffing Category,Derived
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,School Staff,174020.67,Derived - Major Staffing Category,Derived
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,Teachers,268194.63,Derived - Major Staffing Category,Derived
2023-2024,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,631676.14,Education Unit Total,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,13720.22,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,691.10,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24121.13,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3760.32,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3911.15,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4924.75,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1608.99,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,460.84,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,644.11,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,19755.68,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1621.56,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5464.54,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,School administrators,4197.02,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,487.32,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,School Psychologists,965.69,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,2239.97,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,24121.87,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff (w/o Psychology),8885.34,Category Set A,Reported
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,3418.39,Derived - Major Staffing Category,Derived
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,10294.06,Derived - Major Staffing Category,Derived
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,13720.22,Derived - Major Staffing Category,Derived
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,School Staff,40373.22,Derived - Major Staffing Category,Derived
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,Teachers,53775.71,Derived - Major Staffing Category,Derived
2023-2024,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,121581.60,Education Unit Total,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,19606.79,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,654.54,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,24384.00,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3127.11,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1787.23,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1392.36,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2647.12,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,703.40,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,377.16,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,17481.64,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1154.45,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2841.95,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2449.19,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Psychologists,1079.25,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,946.22,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15778.56,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff (w/o Psychology),4968.13,Category Set A,Reported
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1600.76,Derived - Major Staffing Category,Derived
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,7166.59,Derived - Major Staffing Category,Derived
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,19606.79,Derived - Major Staffing Category,Derived
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,29900.72,Derived - Major Staffing Category,Derived
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,43104.24,Derived - Major Staffing Category,Derived
2023-2024,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,101379.10,Education Unit Total,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,2108.22,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,175.00,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4465.18,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,484.20,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,308.30,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,154.70,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,150.79,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,107.50,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,2.00,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,3377.71,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,192.20,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,391.88,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,582.00,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,School Psychologists,174.06,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,286.80,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4943.65,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff (w/o Psychology),994.76,Category Set A,Reported
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,461.80,Derived - Major Staffing Category,Derived
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,789.69,Derived - Major Staffing Category,Derived
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,2108.22,Derived - Major Staffing Category,Derived
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,5629.91,Derived - Major Staffing Category,Derived
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9909.33,Derived - Major Staffing Category,Derived
2023-2024,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,18898.95,Education Unit Total,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,1377.82,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,68.05,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,3966.57,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,459.45,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,449.72,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,1342.01,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,547.65,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,126.11,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,21.05,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Missing,,Category Set A,Not reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,1697.66,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,880.83,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,489.90,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,1061.90,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,58.52,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Psychologists,164.84,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,179.50,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,3013.10,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff (w/o Psychology),1548.01,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,25.00,Category Set A,Reported
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,306.07,Derived - Major Staffing Category,Derived
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,2349.11,Derived - Major Staffing Category,Derived
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,1377.82,Derived - Major Staffing Category,Derived
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,5109.47,Derived - Major Staffing Category,Derived
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,8335.22,Derived - Major Staffing Category,Derived
2023-2024,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,17477.69,Education Unit Total,Reported
2023-2024,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,All Other Support Staff,59708.83,Category Set A,Reported
2023-2024,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary School Counselors,2098.08,Category Set A,Reported
2023-2024,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary Teachers,56551.14,Category Set A,Reported
