SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,422.83,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,789.98,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,705.83,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,133.60,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,77.16,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2720.43,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,168.50,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1081.16,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,663.16,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,38.78,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,203.63,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3666.91,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff,677.49,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,313.74,Derived - Major Staffing Category,Derived
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1495.81,Derived - Major Staffing Category,Derived
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2294.67,Derived - Major Staffing Category,Derived
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5353.00,Derived - Major Staffing Category,Derived
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7656.78,Derived - Major Staffing Category,Derived
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,17114.00,Education Unit Total,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,14127.07,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,464.29,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,30805.14,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,575.81,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2518.31,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4023.92,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1474.54,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,426.17,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,69.70,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,16383.78,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,391.40,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,3802.80,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2457.43,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,797.34,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,14795.56,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff,12063.83,Category Set A,Reported
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1261.63,Derived - Major Staffing Category,Derived
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6074.27,Derived - Major Staffing Category,Derived
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,14127.07,Derived - Major Staffing Category,Derived
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,35203.71,Derived - Major Staffing Category,Derived
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,48510.41,Derived - Major Staffing Category,Derived
2018-2019,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,105177.1,Education Unit Total,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,9820.71,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,590.01,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,14383.44,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,1065.13,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2115.81,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2704.57,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,477.50,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,967.49,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,176.81,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,9270.08,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,760.22,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,3096.21,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,1878.39,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-submission edit
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,756.16,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,18229.83,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff,7465.16,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2529.86,Category Set A,Reported
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1346.17,Derived - Major Staffing Category,Derived
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,4247.20,Derived - Major Staffing Category,Derived
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,9820.71,Derived - Major Staffing Category,Derived
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,22854.14,Derived - Major Staffing Category,Derived
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,38019.16,Derived - Major Staffing Category,Derived
2018-2019,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,76287.38,Education Unit Total,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,117610.0,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,3220.59,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,152531.1,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,25130.33,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,23121.83,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,21834.79,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,4040.57,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,87.00,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,,Category Set A,Missing
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,87747.71,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,5085.65,Category Set A,Imputation
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,35273.01,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,School administrators,18050.10,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2215.46,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,4818.11,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,87079.49,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff,21263.16,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Ungraded Teachers,3987.17,Category Set A,Reported
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,10254.16,Derived - Major Staffing Category,Derived
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,51005.69,Derived - Major Staffing Category,Derived
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,117610.0,Derived - Major Staffing Category,Derived
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,School Staff,162421.0,Derived - Major Staffing Category,Derived
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,Teachers,271805.2,Derived - Major Staffing Category,Derived
2018-2019,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,613096.0,Education Unit Total,Imputation
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,14005.42,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,546.74,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24772.31,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3356.55,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3852.10,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4739.39,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1418.87,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,546.26,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,704.69,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,17694.11,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1215.47,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5396.77,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,School administrators,3779.86,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,403.83,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,1865.22,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,23306.77,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff,7923.89,Category Set A,Reported
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,2815.79,Derived - Major Staffing Category,Derived
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9514.81,Derived - Major Staffing Category,Derived
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,14005.42,Derived - Major Staffing Category,Derived
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,School Staff,36045.58,Derived - Major Staffing Category,Derived
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,Teachers,53146.65,Derived - Major Staffing Category,Derived
2018-2019,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,115529.3,Education Unit Total,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,17373.34,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,447.12,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,24304.78,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,5009.78,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1858.16,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1604.12,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2079.56,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,733.95,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,451.28,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,16520.76,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1014.58,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2905.24,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2261.64,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,704.16,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15421.32,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff,3184.80,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,228.72,Category Set A,Reported
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1151.28,Derived - Major Staffing Category,Derived
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,8693.46,Derived - Major Staffing Category,Derived
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,17373.34,Derived - Major Staffing Category,Derived
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,26057.67,Derived - Major Staffing Category,Derived
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,42827.56,Derived - Major Staffing Category,Derived
2018-2019,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,96103.31,Education Unit Total,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,3112.56,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,129.54,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4375.24,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,352.60,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,402.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,350.64,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,494.92,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,110.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,4.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,2739.23,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,142.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,399.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,521.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,232.67,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4704.40,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff,885.13,Category Set A,Reported
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,362.21,Derived - Major Staffing Category,Derived
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,1198.16,Derived - Major Staffing Category,Derived
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,3112.56,Derived - Major Staffing Category,Derived
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,4658.36,Derived - Major Staffing Category,Derived
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9623.64,Derived - Major Staffing Category,Derived
2018-2019,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,18954.93,Education Unit Total,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,797.28,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,57.36,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,3343.42,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,133.05,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,415.37,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,1098.26,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,347.90,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,114.75,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,7.75,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Missing,,Category Set A,Not reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,2225.75,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,851.65,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,815.42,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,854.64,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,2.00,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,138.33,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,2701.89,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff,1778.16,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,0.00,Category Set A,Reported
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,197.69,Derived - Major Staffing Category,Derived
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,1579.21,Derived - Major Staffing Category,Derived
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,797.28,Derived - Major Staffing Category,Derived
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,5796.47,Derived - Major Staffing Category,Derived
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,7312.33,Derived - Major Staffing Category,Derived
2018-2019,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,15682.98,Education Unit Total,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,All Other Support Staff,61570.18,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary School Counselors,2019.58,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Elementary Teachers,61702.80,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,2476.63,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,9752.66,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,6365.08,Category Set A,Reported
2018-2019,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrators,2134.20,Category Set A,Reported
