SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,13053.66,Derived - Major Staffing Category,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,17849.42,Derived - Major Staffing Category,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,42021.62,Derived - Major Staffing Category,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,78283.79,Education Unit Total,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2212.51,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,78.80,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3154.83,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,387.38,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,783.75,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,768.31,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,126.74,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,65.39,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2622.15,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,134.13,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1146.56,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,691.07,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,42.06,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Psychologists,83.50,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,198.24,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3484.14,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff (w/o Psychology),690.06,Category Set A,Reported
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,319.10,Derived - Major Staffing Category,Derived
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1552.06,Derived - Major Staffing Category,Derived
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2212.51,Derived - Major Staffing Category,Derived
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5425.47,Derived - Major Staffing Category,Derived
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7160.48,Derived - Major Staffing Category,Derived
2022-2023,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,16669.62,Education Unit Total,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,13805.30,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,796.59,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,31281.55,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,829.12,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2393.30,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4259.22,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1704.40,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,451.17,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,84.80,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,16360.49,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,399.58,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,4023.08,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2641.70,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,School Psychologists,1078.52,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,901.21,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,15491.46,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff (w/o Psychology),12281.80,Category Set A,Reported
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1697.80,Derived - Major Staffing Category,Derived
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6792.74,Derived - Major Staffing Category,Derived
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,13805.30,Derived - Major Staffing Category,Derived
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,36921.56,Derived - Major Staffing Category,Derived
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,49565.89,Derived - Major Staffing Category,Derived
2022-2023,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,108783.29,Education Unit Total,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,10319.47,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,606.16,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,17191.18,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,2157.41,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2245.93,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,3007.90,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,873.84,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,909.43,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,159.85,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,10235.60,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,746.12,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,3278.00,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,2105.99,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Psychologists,188.50,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,813.63,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,16001.82,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff (w/o Psychology),7492.43,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2629.57,Category Set A,Reported
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1419.79,Derived - Major Staffing Category,Derived
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,6039.15,Derived - Major Staffing Category,Derived
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,10319.47,Derived - Major Staffing Category,Derived
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,24369.80,Derived - Major Staffing Category,Derived
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,38814.62,Derived - Major Staffing Category,Derived
2022-2023,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,80962.83,Education Unit Total,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,133444.06,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,4489.18,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,151974.99,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,5066.11,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,23785.68,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,22227.18,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,7410.92,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,637.97,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,90822.07,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,,Category Set A,Suppressed
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,35730.75,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,School administrators,17339.76,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2743.45,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,School Psychologists,7189.70,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,5370.76,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,91897.84,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff (w/o Psychology),12219.11,Category Set A,Reported
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,12603.39,Derived - Major Staffing Category,Derived
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,34704.21,Derived - Major Staffing Category,Derived
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,133444.06,Derived - Major Staffing Category,Derived
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,School Staff,163939.36,Derived - Major Staffing Category,Derived
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,Teachers,267658.51,Derived - Major Staffing Category,Derived
2022-2023,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,612349.53,Education Unit Total,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,13027.51,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,692.07,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24230.65,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3627.70,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3926.67,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4688.96,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1521.58,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,452.94,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,656.63,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,18366.85,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1478.00,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5264.12,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,School administrators,4127.25,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,455.66,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,School Psychologists,948.34,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,2183.36,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,23917.18,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff (w/o Psychology),8307.44,Category Set A,Reported
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,3331.09,Derived - Major Staffing Category,Derived
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9838.24,Derived - Major Staffing Category,Derived
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,13027.51,Derived - Major Staffing Category,Derived
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,School Staff,38123.57,Derived - Major Staffing Category,Derived
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,Teachers,53552.50,Derived - Major Staffing Category,Derived
2022-2023,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,117872.91,Education Unit Total,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,18120.58,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,627.98,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,24996.37,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3067.32,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1795.00,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1462.65,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2585.48,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,711.85,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,392.96,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,17819.10,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1086.01,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2853.99,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2390.18,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Psychologists,1047.29,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,916.88,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15927.39,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff (w/o Psychology),5237.27,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,202.10,Category Set A,Reported
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1544.86,Derived - Major Staffing Category,Derived
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,7115.45,Derived - Major Staffing Category,Derived
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,18120.58,Derived - Major Staffing Category,Derived
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,30452.64,Derived - Major Staffing Category,Derived
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,44006.87,Derived - Major Staffing Category,Derived
2022-2023,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,101240.40,Education Unit Total,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,2030.49,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,167.00,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4461.31,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,454.60,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,323.30,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,143.83,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,135.24,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,108.30,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,3169.05,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,176.20,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,391.71,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,577.00,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,School Psychologists,165.26,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,278.80,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,5030.41,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff (w/o Psychology),916.26,Category Set A,Reported
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,445.80,Derived - Major Staffing Category,Derived
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,733.67,Derived - Major Staffing Category,Derived
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,2030.49,Derived - Major Staffing Category,Derived
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,5327.58,Derived - Major Staffing Category,Derived
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9991.22,Derived - Major Staffing Category,Derived
2022-2023,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,18528.76,Education Unit Total,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,1277.79,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,62.57,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,3633.50,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,408.29,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,465.84,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,1286.45,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,571.41,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,115.39,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,32.38,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Missing,,Category Set A,Not reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,2189.86,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,816.45,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,723.06,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,951.99,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,59.17,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Psychologists,148.53,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,155.61,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,3113.42,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff (w/o Psychology),1432.94,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,23.00,Category Set A,Reported
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,277.35,Derived - Major Staffing Category,Derived
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,2266.15,Derived - Major Staffing Category,Derived
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,1277.79,Derived - Major Staffing Category,Derived
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,5594.15,Derived - Major Staffing Category,Derived
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,8052.21,Derived - Major Staffing Category,Derived
2022-2023,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,17467.65,Education Unit Total,Reported
