SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1828.49,Derived - Major Staffing Category,Derived
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3416.34,Derived - Major Staffing Category,Derived
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,12892.21,Derived - Major Staffing Category,Derived
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,17522.92,Derived - Major Staffing Category,Derived
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,38835.49,Derived - Major Staffing Category,Derived
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,74495.45,Education Unit Total,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2197.70,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,77.20,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3194.35,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,397.36,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,773.39,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,702.66,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,130.89,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,71.43,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2662.85,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,152.05,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1123.92,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,680.14,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,31.56,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Psychologists,78.19,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,202.19,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3501.88,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff (w/o Psychology),681.05,Category Set A,Reported
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,310.95,Derived - Major Staffing Category,Derived
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1476.05,Derived - Major Staffing Category,Derived
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2197.70,Derived - Major Staffing Category,Derived
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5428.47,Derived - Major Staffing Category,Derived
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7245.64,Derived - Major Staffing Category,Derived
2021-2022,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,16658.81,Education Unit Total,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,14167.11,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,807.65,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,32174.93,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,736.83,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2502.77,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4387.75,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1692.19,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,464.80,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,70.96,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,16701.11,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,393.25,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,4067.34,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2748.35,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,School Psychologists,1107.81,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,933.17,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,16022.43,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff (w/o Psychology),12187.26,Category Set A,Reported
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1740.82,Derived - Major Staffing Category,Derived
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6816.77,Derived - Major Staffing Category,Derived
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,14167.11,Derived - Major Staffing Category,Derived
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,37347.63,Derived - Major Staffing Category,Derived
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,51093.38,Derived - Major Staffing Category,Derived
2021-2022,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,111165.7,Education Unit Total,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,10297.86,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,591.97,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,17402.57,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,1761.17,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2279.76,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2971.20,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,735.91,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,898.60,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,151.35,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,10099.23,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,707.65,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,3201.05,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,1922.53,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-Submission edit
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Psychologists,113.05,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,777.77,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,15551.78,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff (w/o Psychology),7393.06,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2904.65,Category Set A,Reported
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1369.74,Derived - Major Staffing Category,Derived
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,5468.28,Derived - Major Staffing Category,Derived
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,10297.86,Derived - Major Staffing Category,Derived
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,23778.87,Derived - Major Staffing Category,Derived
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,38846.41,Derived - Major Staffing Category,Derived
2021-2022,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,79761.16,Education Unit Total,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,145100.4,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,4004.75,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,154372.9,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,4943.54,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,22235.79,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,481.04,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,7198.38,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,591.35,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,84397.27,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,,Category Set A,Suppressed
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,55497.90,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,School administrators,16858.64,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2494.62,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,School Psychologists,6866.57,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,5081.60,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,91149.76,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff (w/o Psychology),11448.03,Category Set A,Reported
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,11580.97,Derived - Major Staffing Category,Derived
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,12622.96,Derived - Major Staffing Category,Derived
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,145100.4,Derived - Major Staffing Category,Derived
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,School Staff,175659.8,Derived - Major Staffing Category,Derived
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,Teachers,267758.5,Derived - Major Staffing Category,Derived
2021-2022,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,612722.6,Education Unit Total,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,13169.74,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,663.36,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24329.68,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3269.51,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3967.17,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4684.62,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1483.53,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,474.49,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,646.58,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,17495.76,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1478.58,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5354.15,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,School administrators,4035.05,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,463.13,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,School Psychologists,934.74,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,2117.39,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,24127.48,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff (w/o Psychology),7781.70,Category Set A,Reported
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,3243.88,Derived - Major Staffing Category,Derived
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9437.66,Derived - Major Staffing Category,Derived
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,13169.74,Derived - Major Staffing Category,Derived
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,School Staff,36722.47,Derived - Major Staffing Category,Derived
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,Teachers,53902.91,Derived - Major Staffing Category,Derived
2021-2022,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,116476.7,Education Unit Total,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,18005.68,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,593.20,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,23723.17,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,2885.87,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1761.16,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1475.66,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2319.96,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,681.50,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,406.91,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,16920.60,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1021.59,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2867.97,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2248.02,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-Submission edit
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Psychologists,994.69,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,892.70,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,14978.66,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff (w/o Psychology),4812.55,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,201.20,Category Set A,Reported
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1485.90,Derived - Major Staffing Category,Derived
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,6681.49,Derived - Major Staffing Category,Derived
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,18005.68,Derived - Major Staffing Category,Derived
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,28932.24,Derived - Major Staffing Category,Derived
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,41685.78,Derived - Major Staffing Category,Derived
2021-2022,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,96791.09,Education Unit Total,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,1983.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,153.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4497.27,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,448.30,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,323.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,128.83,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,135.74,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,107.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,2818.84,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,175.00,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,387.71,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,562.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,School Psychologists,176.86,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,253.30,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4969.37,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff (w/o Psychology),853.80,Category Set A,Reported
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,407.10,Derived - Major Staffing Category,Derived
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,712.87,Derived - Major Staffing Category,Derived
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,1983.80,Derived - Major Staffing Category,Derived
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,4907.81,Derived - Major Staffing Category,Derived
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9965.44,Derived - Major Staffing Category,Derived
2021-2022,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,17977.02,Education Unit Total,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,1068.95,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,28.58,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,3703.58,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,260.50,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,424.62,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,986.70,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,453.44,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,100.34,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,10.94,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Missing,,Category Set A,Not reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,2158.41,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,806.47,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,480.04,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,1340.07,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,55.91,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Psychologists,171.75,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,115.59,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,2869.73,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff (w/o Psychology),1571.78,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,24.00,Category Set A,Reported
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,200.08,Derived - Major Staffing Category,Derived
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,1700.64,Derived - Major Staffing Category,Derived
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,1068.95,Derived - Major Staffing Category,Derived
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,5833.33,Derived - Major Staffing Category,Derived
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,7828.40,Derived - Major Staffing Category,Derived
2021-2022,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,16631.40,Education Unit Total,Reported
