SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,17050.84,Education Unit Total,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3613.96,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Psychologists,84.53,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2221.01,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,195.30,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7558.21,Derived - Major Staffing Category,Derived
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,310.16,Derived - Major Staffing Category,Derived
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2221.01,Derived - Major Staffing Category,Derived
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1513.63,Derived - Major Staffing Category,Derived
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,36.20,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5447.83,Derived - Major Staffing Category,Derived
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,725.71,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,169.05,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,787.92,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,132.35,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1125.36,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff (w/o Psychology),672.93,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2676.33,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,69.09,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,687.24,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1539.08,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4095.55,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,664.34,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,676.71,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,15149.22,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,31021.74,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,415.46,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,392.00,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,56.69,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,13708.24,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,School Psychologists,905.46,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,3835.46,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2452.40,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2519.22,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Teachers,49546.93,Derived - Major Staffing Category,Derived
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,No Category Codes,105134.98,Education Unit Total,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff (w/o Psychology),11146.90,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6298.97,Derived - Major Staffing Category,Derived
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,875.72,Category Set A,Reported
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1552.43,Derived - Major Staffing Category,Derived
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Other Staff,13708.24,Derived - Major Staffing Category,Derived
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,School Staff,34028.41,Derived - Major Staffing Category,Derived
2020-2021,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,15680.79,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Teachers,38542.66,Derived - Major Staffing Category,Derived
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Other Staff,9712.00,Derived - Major Staffing Category,Derived
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Staff,21826.85,Derived - Major Staffing Category,Derived
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,No Category Codes,75927.47,Education Unit Total,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Ungraded Teachers,2933.35,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Student Support Services Staff (w/o Psychology),6837.52,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Psychologists,95.05,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary Teachers,18159.57,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrators,652.57,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,3075.60,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,655.77,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Guidance Counselors,1346.26,Derived - Major Staffing Category,Derived
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Staff,4499.70,Derived - Major Staffing Category,Derived
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Librarians/media specialists,894.33,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,8848.33,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,2197.13,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,All Other Support Staff,9712.00,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Secondary School Counselors,762.05,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School administrators,1910.42,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,165.60,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,2624.99,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary Teachers,14596.84,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Elementary School Counselors,584.21,Category Set A,Reported
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,School Counselors,0.00,Category Set A,Post-submission edit
2020-2021,05,ARKANSAS,AR,ARKANSAS DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,1222.14,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Other Staff,144861.74,Derived - Major Staffing Category,Derived
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,LEA Staff,12460.16,Derived - Major Staffing Category,Derived
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,No Category Codes,613321.39,Education Unit Total,Imputation
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Secondary School Counselors,4824.81,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Secondary Teachers,89900.78,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,School administrators,16499.62,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Teachers,269850.03,Derived - Major Staffing Category,Imputation
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,School Staff,175547.33,Derived - Major Staffing Category,Derived
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,School Counselors,2266.59,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,School Psychologists,6587.96,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Librarians/media specialists,620.94,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,School Administrative Support Staff,55997.80,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Student Support Services Staff (w/o Psychology),11114.79,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Elementary Teachers,154084.79,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrators,7425.36,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Kindergarten Teachers,22210.81,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Pre-kindergarten Teachers,3653.65,Category Set A,Imputation
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,All Other Support Staff,144861.74,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Guidance Counselors,10602.13,Derived - Major Staffing Category,Derived
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Elementary School Counselors,3510.73,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,LEA Administrative Support Staff,502.14,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Paraprofessionals/Instructional Aides,84726.22,Category Set A,Reported
2020-2021,06,CALIFORNIA,CA,California Department of Education,01,Instructional Coordinators and Supervisors to the Staff,4532.66,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrative Support Staff,4671.74,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,School Staff,35847.99,Derived - Major Staffing Category,Derived
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Guidance Counselors,3177.44,Derived - Major Staffing Category,Derived
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Secondary Teachers,24156.33,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,School administrators,3895.58,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Other Staff,13351.07,Derived - Major Staffing Category,Derived
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Teachers,54318.97,Derived - Major Staffing Category,Derived
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Student Support Services Staff (w/o Psychology),7652.63,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,No Category Codes,115896.14,Education Unit Total,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,School Counselors,452.65,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Secondary School Counselors,2075.16,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,School Administrative Support Staff,5290.56,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,LEA Staff,9200.67,Derived - Major Staffing Category,Derived
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Paraprofessionals/Instructional Aides,16972.46,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Librarians/media specialists,468.60,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Pre-kindergarten Teachers,1455.26,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Kindergarten Teachers,3931.08,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Library/Media Support Staff,636.90,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,LEA Administrators,1485.42,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,All Other Support Staff,13351.07,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Elementary Teachers,24776.30,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Elementary School Counselors,649.63,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,School Psychologists,931.26,Category Set A,Reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,08,COLORADO,CO,Colorado Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3043.51,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School administrators,2293.53,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Teachers,42580.20,Derived - Major Staffing Category,Derived
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,No Category Codes,97982.50,Education Unit Total,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Staff,28712.70,Derived - Major Staffing Category,Derived
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary Teachers,15265.91,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Guidance Counselors,1457.62,Derived - Major Staffing Category,Derived
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Ungraded Teachers,214.97,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Paraprofessionals/Instructional Aides,16876.26,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Librarians/media specialists,668.10,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Student Support Services Staff (w/o Psychology),4471.67,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrators,2186.88,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Secondary School Counselors,898.45,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Other Staff,18720.23,Derived - Major Staffing Category,Derived
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Staff,6511.75,Derived - Major Staffing Category,Derived
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,LEA Administrative Support Staff,1574.00,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Library/Media Support Staff,471.52,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary Teachers,24335.17,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Pre-kindergarten Teachers,1038.01,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Kindergarten Teachers,1726.14,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Elementary School Counselors,559.17,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Administrative Support Staff,2888.25,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,2750.87,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,School Psychologists,1043.37,Category Set A,Reported
2020-2021,09,CONNECTICUT,CT,Connecticut State Department of Education,01,All Other Support Staff,18720.23,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Secondary School Counselors,235.30,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Other Staff,1889.46,Derived - Major Staffing Category,Derived
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,No Category Codes,17287.97,Education Unit Total,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,School Staff,4540.48,Derived - Major Staffing Category,Derived
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Student Support Services Staff (w/o Psychology),786.63,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Secondary Teachers,4926.96,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,School Counselors,0.00,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,School Psychologists,173.00,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Teachers,9849.93,Derived - Major Staffing Category,Derived
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,School administrators,542.30,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,School Administrative Support Staff,386.71,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,LEA Staff,646.00,Derived - Major Staffing Category,Derived
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Guidance Counselors,362.10,Derived - Major Staffing Category,Derived
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Instructional Coordinators and Supervisors to the Staff,394.43,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Pre-kindergarten Teachers,166.00,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Library/Media Support Staff,0.00,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Librarians/media specialists,105.30,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrators,128.74,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Elementary School Counselors,126.80,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,LEA Administrative Support Staff,122.83,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Kindergarten Teachers,323.50,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Elementary Teachers,4433.47,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,All Other Support Staff,1889.46,Category Set A,Reported
2020-2021,10,DELAWARE,DE,Delaware Department of Education,01,Paraprofessionals/Instructional Aides,2546.54,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Staff,5284.84,Derived - Major Staffing Category,Derived
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Other Staff,1072.56,Derived - Major Staffing Category,Derived
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Guidance Counselors,195.47,Derived - Major Staffing Category,Derived
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,No Category Codes,15775.92,Education Unit Total,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Ungraded Teachers,24.00,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary School Counselors,120.17,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Teachers,7678.30,Derived - Major Staffing Category,Derived
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Psychologists,170.87,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Counselors,53.50,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School administrators,1204.98,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,School Administrative Support Staff,428.60,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Secondary Teachers,2810.11,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Staff,1544.75,Derived - Major Staffing Category,Derived
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Library/Media Support Staff,3.50,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Librarians/media specialists,88.00,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrators,445.35,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,LEA Administrative Support Staff,904.94,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary Teachers,3628.43,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Instructional Coordinators and Supervisors to the Staff,194.46,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Student Support Services Staff (w/o Psychology),1447.74,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Elementary School Counselors,21.80,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Paraprofessionals/Instructional Aides,1941.15,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,All Other Support Staff,1072.56,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Pre-kindergarten Teachers,837.09,Category Set A,Reported
2020-2021,11,DISTRICT OF COLUMBIA,DC,Office of the State Superintendent of Education (OSSE),01,Kindergarten Teachers,378.67,Category Set A,Reported
